University,City,State,Religion,Market_Saturation_Percentile,Academic_Efficiency_Percentile,aCFI_Percentile,Survivability,full_address,location,Latitude,Longitude
Fresno Pacific University,Fresno,CA,Anabaptist,33.36,54.74,48.76,43.796,"Fresno Pacific University, Fresno, CA","Fresno Pacific University, South Garden Avenue, Fresno, Fresno County, California, 93727, United States",36.72601005,-119.73419010411482
Goshen College,Goshen,IN,Anabaptist,33.8,40.05,40.67,37.799,"Goshen College, Goshen, IN","Goshen College, 1700, South Main Street, Parkside, Goshen, Elkhart County, Indiana, 46526, United States",41.56248295,-85.82522495563299
Huntington University,Huntington,IN,Anabaptist,42.7,42.0,49.4,45.242,"Huntington University, Huntington, IN","Huntington University, Ray Street, Huntington, Huntington County, Indiana, 46750, United States",40.89905155,-85.5022118549875
Manchester University,North Manchester,IN,Anabaptist,37.03,41.18,50.56,43.275,"Manchester University, North Manchester, IN","Manchester University, 604, East College Avenue, North Manchester, Wabash County, Indiana, 46962, United States",41.01177555,-85.76000953742776
Emmaus Bible College,Dubuque,IA,Anabaptist,25.59,39.2,66.28,44.597,"Emmaus Bible College, Dubuque, IA","Emmaus Bible College, 2570, Asbury Road, College Grandview District, Dubuque, Dubuque County, Iowa, 52001, United States",42.5087374,-90.7060749086276
Hesston College,Hesston,KS,Anabaptist,27.23,38.97,96.4,57.264,"Hesston College, Hesston, KS","Hesston College, South Hess Avenue, Hesston, Harvey County, Kansas, 67062, United States",38.13468465,-97.43391833739682
McPherson College,McPherson,KS,Anabaptist,34.49,40.21,90.49,58.05,"McPherson College, McPherson, KS","McPherson College, Simpson Street, McPherson, McPherson County, Kansas, 67460, United States",38.37222595,-97.64194995634703
Tabor College,Hillsboro,KS,Anabaptist,29.29,39.01,52.11,40.367,"Tabor College, Hillsboro, KS","Tabor College, East B Street, Hillsboro, Marion County, Kansas, 67063, United States",38.34564655,-97.19974490220972
Ashland University,Ashland,OH,Anabaptist,42.07,54.22,49.96,47.656,"Ashland University, Ashland, OH","Ashland University, 401, College Avenue, Center Street Historic District, Ashland, Ashland County, Ohio, 44805, United States",40.86206715,-82.32557737380854
Bluffton University,Bluffton,OH,Anabaptist,30.68,38.74,51.08,40.457,"Bluffton University, Bluffton, OH","Bluffton University, Adams Bridge, Downtown Bluffton, Bluffton, Allen County, Ohio, 45817, United States",40.8965715,-83.89964803548409
Bucknell University,Lewisburg,PA,Anabaptist,69.01,49.56,52.15,58.375,"Bucknell University, Lewisburg, PA","Bucknell President's House, University Avenue, Lewisburg, Union County, Pennsylvania, 17837, United States",40.9588852,-76.88191282447514
Juniata College,Huntingdon,PA,Anabaptist,37.22,41.57,50.04,43.221,"Juniata College, Huntingdon, PA","Juniata College, 19th Street, Taylor Highlands, Huntingdon, Huntingdon County, Pennsylvania, 16652, United States",40.5012255,-78.01516280060704
Bridgewater College,Bridgewater,VA,Anabaptist,46.02,42.23,50.04,46.872,"Bridgewater College, Bridgewater, VA","Bridgewater College, Dogwood Drive, Bridgewater, Rockingham County, Virginia, 22812, United States",38.3772626,-78.96809814655431
Eastern Mennonite University,Harrisonburg,VA,Anabaptist,32.42,42.03,52.11,42.222,"Eastern Mennonite University, Harrisonburg, VA","Eastern Mennonite University, Chicago Avenue, Park View, Harrisonburg, Virginia, 22802, United States",38.47216285,-78.87794515329837
University of Mobile,Mobile,AL,Baptist,45.98,41.92,49.32,46.506,"University of Mobile, Mobile, AL","University of Mobile, Pollock Altmayer Drive, College Woods, Prichard, Mobile County, Alabama, 36613, United States",30.7919746,-88.13124153816352
Arkansas Baptist College,Little Rock,AR,Baptist,23.92,36.77,48.52,36.335,"Arkansas Baptist College, Little Rock, AR","Arkansas Baptist College, 1600, Dr Martin Luther King Drive, Little Rock, Big Rock Township, Pulaski County, Arkansas, 72202, United States",34.734972299999995,-92.2898356068249
Ouachita Baptist University,Arkadelphia,AR,Baptist,43.01,42.9,50.36,45.93,"Ouachita Baptist University, Arkadelphia, AR","Ouachita Baptist University, 410, Ouachita Street, Arkadelphia, Clark County, Arkansas, 71923, United States",34.1307617,-93.05250677656252
California Baptist University,Riverside,CA,Baptist,84.21,88.06,48.68,70.757,"California Baptist University, Riverside, CA","California Baptist University, 8432, Magnolia Avenue, Ramona, Riverside, Riverside County, California, 92504, United States",33.928323899999995,-117.42592062058483
Florida Memorial University,Miami Gardens,FL,Baptist,59.48,39.43,48.09,50.915,"Florida Memorial University, Miami Gardens, FL","Florida Memorial University, 15800, Northwest 44th Court, Miami Gardens, Miami-Dade County, Florida, 33054, United States",25.9175201,-80.27068544105553
Brewton-Parker College,Mount Vernon,GA,Baptist,43.09,38.29,47.85,44.036,"Brewton-Parker College, Mount Vernon, GA","Brewton Parker College, Mount Vernon, Montgomery County, Georgia, 30445, United States",32.185388957968684,-82.58347271164341
Mercer University,Macon,GA,Baptist,95.79,74.67,49.6,73.08,"Mercer University, Macon, GA","Mercer University, Shamrock Street, Macon, Bibb County, Georgia, 31201, United States",32.8289341,-83.65067020582131
Morehouse College,Atlanta,GA,Baptist,85.68,43.96,30.78,55.368,"Morehouse College, Atlanta, GA","Morehouse College, Westview Drive Southwest, Joel Chandler Harris Homes, Atlanta, Fulton County, Georgia, 30310, United States",33.74737405,-84.41609506200462
Shorter University,Rome,GA,Baptist,43.6,41.18,50.04,45.694,"Shorter University, Rome, GA","Shorter University, 315, Shorter Avenue, DeSoto Homes, Westwood, Rome, Floyd County, Georgia, 30165, United States",34.25942875,-85.19527510695326
Judson University,Elgin,IL,Baptist,33.14,41.53,48.52,40.973,"Judson University, Elgin, IL","Judson University, North State Street, Elgin, Elgin Township, Kane County, Illinois, 60118, United States",42.0609055,-88.29150749046332
Franklin College,Franklin,IN,Baptist,39.97,40.52,50.2,44.175,"Franklin College, Franklin, IN","Franklin College, 101, South Forsythe Street, Franklin, Johnson County, Indiana, 46131, United States",39.47660655,-86.03725773127834
Ottawa University-Ottawa,Ottawa,KS,Baptist,35.68,39.17,48.21,41.393,"Ottawa University-Ottawa, Ottawa, KS","Ottawa University, 1001, South Cedar Street, Ottawa, Franklin County, Kansas, 66067, United States",38.60293695,-95.2638028645363
University of the Cumberlands,Williamsburg,KY,Baptist,59.21,99.06,45.94,61.86,"University of the Cumberlands, Williamsburg, KY","University of the Cumberlands, South 8th Street, Williamsburg, Whitley County, Kentucky, 40769, United States",36.73674315,-84.16286166961402
Georgetown College,Georgetown,KY,Baptist,39.43,41.68,48.52,43.518,"Georgetown College, Georgetown, KY","Georgetown College, East Main Street, Georgetown, Scott County, Kentucky, 40324, United States",38.20692075,-84.55403434882237
Louisiana Christian University,Pineville,LA,Baptist,31.07,40.9,50.64,40.868,"Louisiana Christian University, Pineville, LA","Louisiana Christian University, Pineville Expressway, Pineville Junction, Pineville, Rapides Parish, Louisiana, 71361, United States",31.3235321,-92.4258488256772
Bates College,Lewiston,ME,Baptist,42.0,44.2,51.04,46.058,"Bates College, Lewiston, ME","Bates College, 2, Robinson Gardens, Lewiston, Androscoggin County, Maine, 04240, United States",44.10656935,-70.20282870728443
Mississippi College,Clinton,MS,Baptist,54.38,56.32,50.56,53.238,"Mississippi College, Clinton, MS","Mississippi College, I 20, The Subs, Trailwood, Clinton, Hinds County, Mississippi, 39058, United States",32.3354174,-90.33188238452227
William Carey University,Hattiesburg,MS,Baptist,35.76,57.06,50.32,45.844,"William Carey University, Hattiesburg, MS","William Carey University, 710, William Carey Parkway, Hattiesburg, Forrest County, Mississippi, 39401, United States",31.3037101,-89.29276386549502
Hannibal-LaGrange University,Hannibal,MO,Baptist,23.0,38.86,56.28,39.491,"Hannibal-LaGrange University, Hannibal, MO","Hannibal-LaGrange University, 2800, Palmyra Road, Hannibal, Marion County, Missouri, 63401, United States",39.732717750000006,-91.39100114558696
Missouri Baptist University,Saint Louis,MO,Baptist,34.9,44.51,49.48,42.656,"Missouri Baptist University, Saint Louis, MO","Missouri Baptist University, 1, College Park Drive, Creve Coeur, Saint Louis County, Missouri, 63141, United States",38.6419861,-90.46229806385276
Southwest Baptist University,Bolivar,MO,Baptist,27.86,45.46,50.04,40.255,"Southwest Baptist University, Bolivar, MO","Southwest Baptist University, 1600, University Avenue, Bolivar, Polk County, Missouri, 65613, United States",37.600760050000005,-93.40873074472032
Alfred University,Alfred,NY,Baptist,39.55,45.5,52.15,45.783,"Alfred University, Alfred, NY","Alfred University, Yellow Trail, Village of Alfred, Town of Alfred, Allegany County, New York, 14802, United States",42.255862,-77.7857087052491
Keuka College,Keuka Park,NY,Baptist,29.87,41.61,49.16,39.937,"Keuka College, Keuka Park, NY","Keuka College, Birch Street, Keuka Park, Town of Jerusalem, Yates County, New York, 14478, United States",42.6147014,-77.08995736319191
Union College,Schenectady,NY,Baptist,46.65,43.6,49.96,47.366,"Union College, Schenectady, NY","Union College, Lenox Road, Northside, City of Schenectady, Schenectady County, New York, 12308, United States",42.8175752,-73.92839165453219
Campbell University,Buies Creek,NC,Baptist,49.28,57.97,49.52,51.112,"Campbell University, Buies Creek, NC","Campbell University, 143, Main Street, Buies Creek, Harnett County, North Carolina, 27506, United States",35.408071,-78.73924679769573
Chowan University,Murfreesboro,NC,Baptist,28.16,40.13,52.15,40.155,"Chowan University, Murfreesboro, NC","Chowan University, College Street, Murfreesboro, Hertford County, North Carolina, 27855, United States",36.4340869,-77.09650067197137
Gardner-Webb University,Boiling Springs,NC,Baptist,54.97,47.65,50.16,51.582,"Gardner-Webb University, Boiling Springs, NC","Gardner-Webb University, 110, South Main Street, Boiling Springs, Cleveland County, North Carolina, 28017, United States",35.24782945,-81.67023803083481
Mars Hill University,Mars Hill,NC,Baptist,41.76,40.44,49.8,44.715,"Mars Hill University, Mars Hill, NC","Mars Hill University, 100, Athletic Street, Mars Hill, Madison County, North Carolina, 28754, United States",35.827147,-82.5529516616329
Meredith College,Raleigh,NC,Baptist,41.1,44.75,50.04,45.408,"Meredith College, Raleigh, NC","Meredith College, 3800, Hillsborough Street, Method, Raleigh, Wake County, North Carolina, 27607, United States",35.798213950000005,-78.68893690156162
University of Mount Olive,Mount Olive,NC,Baptist,40.87,44.16,23.64,34.63,"University of Mount Olive, Mount Olive, NC","University of Mount Olive, 586, Henderson Street, Mount Olive, Wayne County, North Carolina, 28365, United States",35.20585095,-78.06997857195825
Shaw University,Raleigh,NC,Baptist,27.83,40.75,49.4,39.046,"Shaw University, Raleigh, NC","Shaw University, South Wilmington Street, Warehouse District, Raleigh, Wake County, North Carolina, 27603, United States",35.77076885,-78.63697923267378
Wingate University,Wingate,NC,Baptist,70.44,49.28,49.36,57.774,"Wingate University, Wingate, NC","Wingate University, 220, North Camden Street, Wingate, Union County, North Carolina, 28174, United States",34.987101100000004,-80.43731492196923
Cedarville University,Cedarville,OH,Baptist,73.34,51.6,50.36,59.797,"Cedarville University, Cedarville, OH","Cedarville University, 251, North Main Street, Cedarville, Cedarville Township, Greene County, Ohio, 45314, United States",39.7540491,-83.81705182918216
Oklahoma Baptist University,Shawnee,OK,Baptist,37.52,42.43,51.36,44.041,"Oklahoma Baptist University, Shawnee, OK","Oklahoma Baptist University, North Aydelotte Street, Shawnee, Pottawatomie County, Oklahoma, 74804, United States",35.364462950000004,-96.93385103279996
Linfield University,McMinnville,OR,Baptist,40.36,44.31,51.08,45.44,"Linfield University, McMinnville, OR","Linfield University, Southeast Davis Street, McMinnville, Yamhill County, Oregon, 97128, United States",45.1984734,-123.19813835871923
Anderson University,Anderson,SC,Baptist,85.31,52.43,99.68,84.493,"Anderson University, Anderson, SC","Anderson University, Springdale Road, Allen Hills, Anderson, Anderson County, South Carolina, 29621, United States",34.51478935,-82.63874687710373
Charleston Southern University,Charleston,SC,Baptist,71.23,47.61,49.44,57.788,"Charleston Southern University, Charleston, SC","Charleston Southern University, 9200, University Boulevard, North Charleston, Charleston County, South Carolina, 29406, United States",32.9826445,-80.07109661611514
Benedict College,Columbia,SC,Baptist,29.98,40.28,51.04,40.468,"Benedict College, Columbia, SC","Benedict College, 1600, Harden Street, Waverly, Columbia, Richland County, South Carolina, 29204, United States",34.01396275,-81.02097288919151
Morris College,Sumter,SC,Baptist,27.09,38.09,55.88,40.812,"Morris College, Sumter, SC","Morris College, West College Street, Sumter, Sumter County, South Carolina, 29153, United States",33.9383314,-80.34700051878013
North Greenville University,Tigerville,SC,Baptist,49.8,44.35,52.35,49.732,"North Greenville University, Tigerville, SC","North Greenville University, Foster Circle, Tigerville, Greenville County, South Carolina, 29687, United States",35.070227,-82.37443307070124
University of Sioux Falls,Sioux Falls,SD,Baptist,37.68,43.76,50.44,44.003,"University of Sioux Falls, Sioux Falls, SD","University of Sioux Falls - Main Campus, 1101, West 22nd Street, Sioux Falls, Sioux Falls Township, Minnehaha County, South Dakota, 57105, United States",43.5309201,-96.73813259452696
American Baptist College,Nashville,TN,Baptist,23.67,37.49,48.72,36.459,"American Baptist College, Nashville, TN","American Baptist College, Baptist World Center Drive, Brooklyn Heights, Nashville, Davidson County, Middle Tennessee, Tennessee, 37207, United States",36.2022777,-86.7902765
Baptist Health Sciences University,Memphis,TN,Baptist,23.39,40.13,51.64,38.043,"Baptist Health Sciences University, Memphis, TN","Baptist Health Sciences University, 1003, Monroe Avenue, Medical District, Memphis, Shelby County, West Tennessee, Tennessee, 38104, United States",35.13653725,-90.02616776188766
Carson-Newman University,Jefferson City,TN,Baptist,35.27,49.8,50.44,44.246,"Carson-Newman University, Jefferson City, TN","Carson-Newman University, Andrew Johnson Highway, Jefferson City, Jefferson County, East Tennessee, Tennessee, 37760, United States",36.12206325,-83.4893262980502
Union University,Jackson,TN,Baptist,38.29,46.69,58.94,48.235,"Union University, Jackson, TN","Union University, Hope Road, Jackson, Madison County, West Tennessee, Tennessee, 38302, United States",35.67712415,-88.86094997728624
Baylor University,Waco,TX,Baptist,99.87,95.25,51.24,79.48,"Baylor University, Waco, TX","Baylor University, 1301, South University Parks Drive, Waco, McLennan County, Texas, 76706, United States",31.55043405,-97.1102905567766
Dallas Baptist University,Dallas,TX,Baptist,84.3,47.49,53.98,64.808,"Dallas Baptist University, Dallas, TX","Dallas Baptist University, 3000, Mountain Creek Parkway, Dallas, Dallas County, Texas, 75211, United States",32.7108312,-96.946767972549
East Texas Baptist University,Marshall,TX,Baptist,58.0,42.5,49.68,51.573,"East Texas Baptist University, Marshall, TX","East Texas Baptist University, 1, Tiger Drive, Marshall, Harrison County, Texas, 75670, United States",32.557952650000004,-94.37511342798528
Hardin-Simmons University,Abilene,TX,Baptist,57.3,44.55,51.12,52.279,"Hardin-Simmons University, Abilene, TX","Hardin-Simmons University, 2200, Hickory Street, Abilene, Taylor County, Texas, 79601, United States",32.4777117,-99.73415759382408
Howard Payne University,Brownwood,TX,Baptist,37.75,38.94,55.49,45.089,"Howard Payne University, Brownwood, TX","Howard Payne University, 1000, Fisk Street, Brownwood, Brown County, Texas, 76801, United States",31.71642025,-98.98631404578038
University of Mary Hardin-Baylor,Belton,TX,Baptist,89.76,49.24,41.18,62.218,"University of Mary Hardin-Baylor, Belton, TX","University of Mary-Hardin Baylor, 900, College Street, Belton, Bell County, Texas, 76513, United States",31.06868225,-97.46482937242428
Averett University,Danville,VA,Baptist,38.32,43.05,48.29,43.256,"Averett University, Danville, VA","Averett University, 420, West Main Street, Springfield, Danville, Virginia, 24541, United States",36.5789301,-79.41452051628477
Bluefield University,Bluefield,VA,Baptist,30.68,42.66,52.59,41.844,"Bluefield University, Bluefield, VA","Bluefield College, 3000, College Avenue, Bluefield, Tazewell County, Virginia, 24605, United States",37.24510425,-81.24800239953215
Virginia Union University,Richmond,VA,Baptist,48.48,39.97,49.48,47.18,"Virginia Union University, Richmond, VA","Virginia Union University, Bath Street, Richmond, Virginia, 23232, United States",37.5617598,-77.45105977399695
Appalachian Bible College,Mount Hope,WV,Baptist,26.27,38.44,50.52,38.409,"Appalachian Bible College, Mount Hope, WV","Appalachian Bible College, 161, College Drive, Mount Hope, Raleigh County, West Virginia, 25880, United States",37.8549214,-81.20494954511202
Maranatha Baptist University,Watertown,WI,Baptist,29.56,40.63,49.68,39.826,"Maranatha Baptist University, Watertown, WI","Maranatha Baptist University, 745, West Main Street, Watertown, Jefferson County, Wisconsin, 53094, United States",43.19591645,-88.74001639641634
Criswell College,Dallas,TX,Baptist,25.05,38.48,50.12,37.769,"Criswell College, Dallas, TX","Criswell College, North Hill Avenue, Old East Dallas, Dallas, Dallas County, Texas, 75246, United States",32.79311725,-96.777051129858
Anderson University,Anderson,IN,Church of God,42.35,40.13,49.0,44.568,"Anderson University, Anderson, IN","Anderson University, 1100, Ravens Lake Drive, Anderson, Madison County, Indiana, 46012, United States",40.11455395,-85.6607189805517
Dordt University,Sioux Center,IA,Church of God,47.41,43.41,51.0,48.048,"Dordt University, Sioux Center, IA","Dordt University, 3rd Street Northeast, Sioux Center, Sioux County, Iowa, 51250, United States",43.08066095,-96.16404679319116
The University of Findlay,Findlay,OH,Church of God,54.18,46.81,49.36,50.778,"The University of Findlay, Findlay, OH","The Center for Equine and Pre-Veterinary Sciences, 14700, County Road 37, Findlay, Hancock County, Ohio, 45840, United States",40.9520749,-83.65536133422265
Warner Pacific University,Portland,OR,Church of God,23.24,39.13,48.17,36.394,"Warner Pacific University, Portland, OR","Warner Pacific University, 2219, Southeast 68th Avenue, Mount Tabor, Portland, Multnomah County, Oregon, 97215, United States",45.5062805,-122.59338494421556
Lee University,Cleveland,TN,Church of God,37.71,51.68,52.35,46.362,"Lee University, Cleveland, TN","Lee University, Trunk Street Northeast, Cleveland, Bradley County, East Tennessee, Tennessee, 37311, United States",35.1660778,-84.86925196171154
Mid-America Christian University,Oklahoma City,OK,Church of God,30.96,43.84,49.4,40.915,"Mid-America Christian University, Oklahoma City, OK","Mid-America Christian University;Mid-America Bible College, Southwest 119th Street, Oklahoma City, Cleveland County, Oklahoma, 73173, United States",35.3467159,-97.57847646028875
Faulkner University,Montgomery,AL,Churches of Christ,36.5,48.52,48.84,43.841,"Faulkner University, Montgomery, AL","Faulkner University, 5345, Atlanta Highway, Montgomery, Montgomery County, Alabama, 36109, United States",32.3854781,-86.21710609904724
Pepperdine University,Malibu,CA,Churches of Christ,63.76,83.52,50.12,62.248,"Pepperdine University, Malibu, CA","Pepperdine University - Malibu Campus, Winter Canyon Road, Malibu, Los Angeles County, California, 90263, United States",34.043010300000006,-118.70934589328934
Florida College,Temple Terrace,FL,Churches of Christ,36.24,40.67,52.47,43.622,"Florida College, Temple Terrace, FL","Florida College, North Glen Arven Avenue, Temple Terrace, Hillsborough County, Florida, 33617, United States",28.03446495,-82.38338213326841
Rochester University,Rochester Hills,MI,Churches of Christ,34.24,40.25,48.21,41.033,"Rochester University, Rochester Hills, MI","Rochester Christian University, 800, West Avon Road, Rochester Hills, Oakland County, Michigan, 48307, United States",42.66870805,-83.1435408514073
Summit Christian College,Gering,NE,Churches of Christ,23.64,37.68,50.24,37.093,"Summit Christian College, Gering, NE","Summit Christian College, 2025, 21st Street, Gering, Scotts Bluff County, Nebraska, 69341, United States",41.8293566,-103.6757197
York University,York,NE,Churches of Christ,29.25,39.97,50.16,39.762,"York University, York, NE","York University, 1125, East 8th Street, York, York County, Nebraska, 68467, United States",40.86967775,-97.58034078874503
Carolina Christian College,Winston Salem,NC,Churches of Christ,25.49,38.97,48.92,37.562,"Carolina Christian College, Winston Salem, NC","Carolina Christian College, Indiana Avenue, Alspaugh, Winston-Salem, Forsyth County, North Carolina, 27106, United States",36.1461516,-80.2562112
Lipscomb University,Nashville,TN,Churches of Christ,64.21,59.44,48.6,57.008,"Lipscomb University, Nashville, TN","Lipscomb University, Morrow Avenue, Nashville, Davidson County, Middle Tennessee, Tennessee, 37204, United States",36.10507165,-86.79864091820343
Freed-Hardeman University,Henderson,TN,Churches of Christ,26.63,45.03,51.4,40.222,"Freed-Hardeman University, Henderson, TN","Freed-Hardeman University, 158, East Main Street, Henderson, Chester County, West Tennessee, Tennessee, 38340, United States",35.43981645,-88.63662784873422
Abilene Christian University,Abilene,TX,Churches of Christ,90.99,53.19,51.04,67.446,"Abilene Christian University, Abilene, TX","Abilene Christian University, 1600, Acu Drive, Abilene, Taylor County, Texas, 79699, United States",32.4699728,-99.70735954838815
Trinity College,Hartford,CT,Episcopal,62.59,44.51,51.83,54.67,"Trinity College, Hartford, CT","Trinity College, 300, Summit Street, Allen Place–Lincoln Street Historic District, Frog Hollow, Hartford, Connecticut, 06106, United States",41.74715485,-72.69011994734595
Clarkson College,Omaha,NE,Episcopal,24.98,42.54,50.32,38.632,"Clarkson College, Omaha, NE","Clarkson College, 101, South 42nd Street, Blackstone, Omaha, Douglas County, Nebraska, 68131, United States",41.25937365,-95.97542659744732
Bard College,Annandale-On-Hudson,NY,Episcopal,39.78,45.94,47.69,44.177,"Bard College, Annandale-On-Hudson, NY","Bard College, 30, Campus Road, Town of Red Hook, Dutchess County, New York, 12504, United States",42.0225482,-73.91072422119606
Hobart William Smith Colleges,Geneva,NY,Episcopal,40.59,43.21,50.44,45.056,"Hobart William Smith Colleges, Geneva, NY","Hobart and William Smith Colleges, Reed Street, Town of Geneva, Ontario County, New York, 14456, United States",42.8570498,-76.98719739224848
The University of the South,Sewanee,TN,Episcopal,46.14,43.88,53.03,48.447,"The University of the South, Sewanee, TN","The University of the South, Mitchell Avenue, Sewanee, Franklin County, Middle Tennessee, Tennessee, 37375, United States",35.20440405,-85.91895058826586
Toccoa Falls College,Toccoa Falls,GA,Evangelical Christian,40.94,40.09,45.07,42.423,"Toccoa Falls College, Toccoa Falls, GA","Toccoa Falls College, 107, Kincaid Drive, Stephens County, Georgia, 30598, United States",34.5937089,-83.35634657362554
Crown College,Saint Bonifacius,MN,Evangelical Christian,38.55,42.39,49.0,43.5,"Crown College, Saint Bonifacius, MN","Crown College, 8700, College View Drive, Saint Bonifacius, Laketown Township, Carver County, Minnesota, 55375, United States",44.88413435,-93.74256433121
Earlham College,Richmond,IN,Friends,35.27,40.48,51.4,42.768,"Earlham College, Richmond, IN","Earlham College, Southwest 9th Street, Richmond, Wayne County, Indiana, 47374, United States",39.8204275,-84.91323124235393
William Penn University,Oskaloosa,IA,Friends,38.51,39.97,48.72,42.889,"William Penn University, Oskaloosa, IA","William Penn University, Barclay Street, Oskaloosa, Mahaska County, Iowa, 52577, United States",41.3117756,-92.64894045918444
Friends University,Wichita,KS,Friends,36.66,42.9,54.5,45.048,"Friends University, Wichita, KS","Friends University, West Kellogg Drive North, Wichita, Sedgwick County, Kansas, 67213, United States",37.6784007,-97.36542141621248
Malone University,Canton,OH,Friends,29.81,41.02,49.8,40.052,"Malone University, Canton, OH","Malone University, Sunlight Court Northwest, Canton, Stark County, Ohio, 44709, United States",40.8265967,-81.37980061905188
Wilmington College,Wilmington,OH,Friends,31.45,40.98,50.36,40.924,"Wilmington College, Wilmington, OH","Wilmington College, Graham Drive, Wilmington Commercial Historic District, Wilmington, Clinton County, Ohio, 45177, United States",39.441677,-83.81731600752089
George Fox University,Newberg,OR,Friends,56.12,54.82,49.64,53.266,"George Fox University, Newberg, OR","George Fox University, 414, North Meridian Street, Newberg, Yamhill County, Oregon, 97132, United States",45.3038562,-122.9665911824416
Arizona Christian University,Glendale,AZ,Interdenominational,63.34,40.09,48.32,52.682,"Arizona Christian University, Glendale, AZ","Arizona Christian University, North 57th Avenue, College Park, Glendale, Maricopa County, Arizona, 85306, United States",33.622613349999995,-112.18260582017332
John Brown University,Siloam Springs,AR,Interdenominational,39.17,43.37,55.76,46.65,"John Brown University, Siloam Springs, AR","John Brown University, East Valley Drive, Twin Springs, Siloam Springs, Benton County, Arkansas, 72761, United States",36.190836950000005,-94.55957189163512
Biola University,La Mirada,CA,Interdenominational,61.71,53.35,49.36,55.096,"Biola University, La Mirada, CA","Biola University, 13800, Biola Avenue, La Mirada, Los Angeles County, California, 90639, United States",33.90686,-118.01521719065124
Scripps College,Claremont,CA,Interdenominational,37.98,41.53,52.51,44.506,"Scripps College, Claremont, CA","Scripps College, East 9th Street, Claremont, Los Angeles County, California, 91711, United States",34.10391835,-117.70934422008582
Colorado Christian University,Lakewood,CO,Interdenominational,52.31,58.63,48.44,52.024,"Colorado Christian University, Lakewood, CO","Colorado Christian University - Lakewood Center, 180, South Garrison Street, Lakewood, Jefferson County, Colorado, 80226, United States",39.7129396,-105.0952693636912
University of Hartford,West Hartford,CT,Interdenominational,95.14,61.22,48.8,69.813,"University of Hartford, West Hartford, CT","University of Hartford, 200, Bloomfield Avenue, Watkinson School Historic District, West Hartford, Capitol Planning Region, Connecticut, 06117, United States",41.8002648,-72.71412054842195
Yale University,New Haven,CT,Interdenominational,98.84,90.72,55.21,79.753,"Yale University, New Haven, CT","Yale University, Trumbull Street, Downtown, East Rock, New Haven, South Central Connecticut Planning Region, Connecticut, 06511, United States",41.3135727,-72.9231731
Lynn University,Boca Raton,FL,Interdenominational,82.15,49.76,49.04,62.425,"Lynn University, Boca Raton, FL","Lynn University, North Military Trail, Boca Raton, Palm Beach County, Florida, 33431, United States",26.3837711,-80.12540276819502
Jacksonville University,Jacksonville,FL,Interdenominational,80.84,52.19,48.44,62.146,"Jacksonville University, Jacksonville, FL","Jacksonville University, Holly Bell Drive, Eagle Pointe Apartments, Jacksonville, Duval County, Florida, 32277, United States",30.3537227,-81.60730605405212
Palm Beach Atlantic University,West Palm Beach,FL,Interdenominational,77.19,46.37,50.28,60.26,"Palm Beach Atlantic University, West Palm Beach, FL","Palm Beach Atlantic University, 900, South Olive Avenue, West Palm Beach, Palm Beach County, Florida, 33401, United States",26.7048899,-80.05085158341606
Trinity College of Florida,Trinity,FL,Interdenominational,25.78,37.52,48.76,37.325,"Trinity College of Florida, Trinity, FL","Trinity College of Florida, Welbilt Boulevard, Trinity Oaks Commerce Park, Pasco County, Florida, 34655, United States",28.19391805,-82.67835960740362
Berry College,Mount Berry,GA,Interdenominational,82.3,44.35,58.28,65.102,"Berry College, Mount Berry, GA","Berry College, 2277, Martha Berry Highway, Rome, Floyd County, Georgia, 30149, United States",34.293036,-85.19174086702785
Aurora University,Aurora,IL,Interdenominational,64.77,71.23,49.28,59.86,"Aurora University, Aurora, IL","Aurora University, 347, South Gladstone Avenue, Aurora, Aurora Township, Kane County, Illinois, 60506, United States",41.754829,-88.34950358637296
University of Chicago,Chicago,IL,Interdenominational,93.7,97.36,49.6,76.778,"University of Chicago, Chicago, IL","The University of Chicago, 5801, South Ellis Avenue, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",41.79139685,-87.60084387193544
East-West University,Chicago,IL,Interdenominational,37.41,37.26,59.91,46.387,"East-West University, Chicago, IL","East West University, South Michigan Avenue, Printer's Row, Loop, Chicago, Cook County, Illinois, 60605, United States",41.8712713,-87.62506935993366
Moody Bible Institute,Chicago,IL,Interdenominational,28.84,45.58,52.39,41.612,"Moody Bible Institute, Chicago, IL","Moody Bible Institute, 820, North LaSalle Drive, River North, Near North Side, Chicago, Cook County, Illinois, 60610, United States",41.9002764,-87.6354882298403
Trinity Christian College,Palos Heights,IL,Interdenominational,30.75,40.56,50.64,40.672,"Trinity Christian College, Palos Heights, IL","Trinity Christian College, 6601, West College Drive, Palos Heights, Worth Township, Cook County, Illinois, 60463, United States",41.6689319,-87.78340322217727
Wheaton College,Wheaton,IL,Interdenominational,50.28,47.49,52.51,50.615,"Wheaton College, Wheaton, IL","Wheaton College, 501, College Avenue, Wheaton, DuPage County, Illinois, 60187, United States",41.86963745,-88.09755524953694
Asbury University,Wilmore,KY,Interdenominational,50.2,43.01,53.39,50.04,"Asbury University, Wilmore, KY","Asbury University, West Main Street, Wilmore, Jessamine County, Kentucky, 40390, United States",37.8633341,-84.66528114627815
